#Id	Code	Category	SlotIndex	IsInitiallyUnlocked	UnlockGold	RequiredStars	RewardStars	SaveGold	Description
#唯一编号	机器码	建筑类别	槽位索引(1基)	是否初始解锁	购买金币	星星条件	获得星星	存钱	备注描述
1	archslot_hatch_1	Hatch	1	true	0	0	0	2	孵化器1号位
2	archslot_hatch_2	Hatch	2	false	2000	0	2	2	孵化器2号位
3	archslot_hatch_3	Hatch	3	false	3000	0	3	2	孵化器3号位
4	archslot_hatch_4	Hatch	4	false	4000	0	4	2	孵化器4号位
5	archslot_diet_1	Diet	1	true	0	0	0	2	餐桌1号位
6	archslot_diet_2	Diet	2	false	2000	0	2	2	餐桌2号位
7	archslot_diet_3	Diet	3	false	3000	0	3	2	餐桌3号位
8	archslot_diet_4	Diet	4	false	4000	0	4	2	餐桌4号位
9	archslot_diet_5	Diet	5	false	5000	0	5	2	餐桌5号位
10	archslot_diet_6	Diet	6	false	6000	0	6	2	餐桌6号位
11	archslot_fruiter_1	Fruiter	1	true	0	0	0	2	果树1号位
12	archslot_fruiter_2	Fruiter	2	false	2000	0	2	2	果树2号位
13	archslot_fruiter_3	Fruiter	3	false	3000	0	3	2	果树3号位
14	archslot_fruiter_4	Fruiter	4	false	4000	0	4	2	果树4号位
15	archslot_fruiter_5	Fruiter	5	false	5000	0	5	2	果树5号位
16	archslot_fruiter_6	Fruiter	6	false	6000	0	6	2	果树6号位
