#Id	Code	Category	SlotIndex	CurrentLevel	UpgradeGold	EffectParam	RequiredStars	RewardStars	Description
#唯一编号	机器码	建筑类别	槽位索引(1基)	当前等级	升级金币	升级效果参数	星星条件	获得星星	备注描述
1	archup_hatch_s1_1	Hatch	1	1	5000	10	60	5	孵化区1号位1级升2级
2	archup_hatch_s1_2	Hatch	1	2	10000	20	240	10	孵化区1号位2级升3级
3	archup_hatch_s1_3	Hatch	1	3	20000	30	600	20	孵化区1号位3级升4级
4	archup_hatch_s1_4	Hatch	1	4	50000	40	1380	50	孵化区1号位4级升5级
5	archup_hatch_s2_1	Hatch	2	1	6000	10	60	6	孵化区2号位1级升2级
6	archup_hatch_s2_2	Hatch	2	2	12000	20	240	12	孵化区2号位2级升3级
7	archup_hatch_s2_3	Hatch	2	3	24000	30	600	24	孵化区2号位3级升4级
8	archup_hatch_s2_4	Hatch	2	4	60000	40	1380	60	孵化区2号位4级升5级
9	archup_hatch_s3_1	Hatch	3	1	7000	10	60	7	孵化区3号位1级升2级
10	archup_hatch_s3_2	Hatch	3	2	14000	20	240	14	孵化区3号位2级升3级
11	archup_hatch_s3_3	Hatch	3	3	28000	30	600	28	孵化区3号位3级升4级
12	archup_hatch_s3_4	Hatch	3	4	70000	40	1380	70	孵化区3号位4级升5级
13	archup_hatch_s4_1	Hatch	4	1	8000	10	60	8	孵化区4号位1级升2级
14	archup_hatch_s4_2	Hatch	4	2	16000	20	240	16	孵化区4号位2级升3级
15	archup_hatch_s4_3	Hatch	4	3	32000	30	600	32	孵化区4号位3级升4级
16	archup_hatch_s4_4	Hatch	4	4	80000	40	1380	80	孵化区4号位4级升5级
17	archup_diet_s1_1	Diet	1	1	5000	200	60	5	饮食区1号位1级升2级
18	archup_diet_s1_2	Diet	1	2	10000	400	240	10	饮食区1号位2级升3级
19	archup_diet_s1_3	Diet	1	3	20000	600	600	20	饮食区1号位3级升4级
20	archup_diet_s1_4	Diet	1	4	50000	800	1380	50	饮食区1号位4级升5级
21	archup_diet_s2_1	Diet	2	1	6000	200	60	6	饮食区2号位1级升2级
22	archup_diet_s2_2	Diet	2	2	12000	400	240	12	饮食区2号位2级升3级
23	archup_diet_s2_3	Diet	2	3	24000	600	600	24	饮食区2号位3级升4级
24	archup_diet_s2_4	Diet	2	4	60000	800	1380	60	饮食区2号位4级升5级
25	archup_diet_s3_1	Diet	3	1	7000	200	60	7	饮食区3号位1级升2级
26	archup_diet_s3_2	Diet	3	2	14000	400	240	14	饮食区3号位2级升3级
27	archup_diet_s3_3	Diet	3	3	28000	600	600	28	饮食区3号位3级升4级
28	archup_diet_s3_4	Diet	3	4	70000	800	1380	70	饮食区3号位4级升5级
29	archup_diet_s4_1	Diet	4	1	8000	200	60	8	饮食区4号位1级升2级
30	archup_diet_s4_2	Diet	4	2	16000	400	240	16	饮食区4号位2级升3级
31	archup_diet_s4_3	Diet	4	3	32000	600	600	32	饮食区4号位3级升4级
32	archup_diet_s4_4	Diet	4	4	80000	800	1380	80	饮食区4号位4级升5级
33	archup_diet_s5_1	Diet	5	1	9000	200	60	9	饮食区5号位1级升2级
34	archup_diet_s5_2	Diet	5	2	18000	400	240	18	饮食区5号位2级升3级
35	archup_diet_s5_3	Diet	5	3	36000	600	600	36	饮食区5号位3级升4级
36	archup_diet_s5_4	Diet	5	4	90000	800	1380	90	饮食区5号位4级升5级
37	archup_diet_s6_1	Diet	6	1	10000	200	60	10	饮食区6号位1级升2级
38	archup_diet_s6_2	Diet	6	2	20000	400	240	20	饮食区6号位2级升3级
39	archup_diet_s6_3	Diet	6	3	40000	600	600	40	饮食区6号位3级升4级
40	archup_diet_s6_4	Diet	6	4	100000	800	1380	100	饮食区6号位4级升5级
41	archup_fruiter_s1_1	Fruiter	1	1	5000	10	60	5	农场区1号位1级升2级
42	archup_fruiter_s1_2	Fruiter	1	2	10000	20	240	10	农场区1号位2级升3级
43	archup_fruiter_s1_3	Fruiter	1	3	20000	30	600	20	农场区1号位3级升4级
44	archup_fruiter_s1_4	Fruiter	1	4	50000	40	1380	50	农场区1号位4级升5级
45	archup_fruiter_s2_1	Fruiter	2	1	6000	10	60	6	农场区2号位1级升2级
46	archup_fruiter_s2_2	Fruiter	2	2	12000	20	240	12	农场区2号位2级升3级
47	archup_fruiter_s2_3	Fruiter	2	3	24000	30	600	24	农场区2号位3级升4级
48	archup_fruiter_s2_4	Fruiter	2	4	60000	40	1380	60	农场区2号位4级升5级
49	archup_fruiter_s3_1	Fruiter	3	1	7000	10	60	7	农场区3号位1级升2级
50	archup_fruiter_s3_2	Fruiter	3	2	14000	20	240	14	农场区3号位2级升3级
51	archup_fruiter_s3_3	Fruiter	3	3	28000	30	600	28	农场区3号位3级升4级
52	archup_fruiter_s3_4	Fruiter	3	4	70000	40	1380	70	农场区3号位4级升5级
53	archup_fruiter_s4_1	Fruiter	4	1	8000	10	60	8	农场区4号位1级升2级
54	archup_fruiter_s4_2	Fruiter	4	2	16000	20	240	16	农场区4号位2级升3级
55	archup_fruiter_s4_3	Fruiter	4	3	32000	30	600	32	农场区4号位3级升4级
56	archup_fruiter_s4_4	Fruiter	4	4	80000	40	1380	80	农场区4号位4级升5级
57	archup_fruiter_s5_1	Fruiter	5	1	9000	10	60	9	农场区5号位1级升2级
58	archup_fruiter_s5_2	Fruiter	5	2	18000	20	240	18	农场区5号位2级升3级
59	archup_fruiter_s5_3	Fruiter	5	3	36000	30	600	36	农场区5号位3级升4级
60	archup_fruiter_s5_4	Fruiter	5	4	90000	40	1380	90	农场区5号位4级升5级
61	archup_fruiter_s6_1	Fruiter	6	1	10000	10	60	10	农场区6号位1级升2级
62	archup_fruiter_s6_2	Fruiter	6	2	20000	20	240	20	农场区6号位2级升3级
63	archup_fruiter_s6_3	Fruiter	6	3	40000	30	600	40	农场区6号位3级升4级
64	archup_fruiter_s6_4	Fruiter	6	4	100000	40	1380	100	农场区6号位4级升5级
