#Id	Code	Name	IsUnlocked	IconPath	DailyChallengePath	UnlockGold	RequiredStars	RewardStars	CoinProbability	CoinAmount	ProduceSeconds	Description
#唯一编号	机器码	显示名称	是否默认解锁	图标资源路径	每日关卡图资源路径	解锁所需金币	星星条件	解锁获得星星	产出金币概率	单次产出金币数	生产时长(秒)	备注描述
1	fruit_apple	苹果	true	Arts/Fruit/Fruit/SG_0001_S	Arts/Fruit/FruitCard/SG_0001	0	0	0	100	100	2	清甜多汁的苹果。
2	fruit_banana	香蕉	false	Arts/Fruit/Fruit/SG_0002_S	Arts/Fruit/FruitCard/SG_0002	2000	0	2	100	200	2	香甜软糯的香蕉。
3	fruit_strawberry	草莓	false	Arts/Fruit/Fruit/SG_0003_S	Arts/Fruit/FruitCard/SG_0003	3000	0	3	100	300	3	酸甜可口的草莓。
4	fruit_corn	玉米	false	Arts/Fruit/Fruit/SG_0004_S	Arts/Fruit/FruitCard/SG_0004	4000	0	4	100	400	4	饱满金黄的作物。
5	fruit_berry	树莓	false	Arts/Fruit/Fruit/SG_0005_S	Arts/Fruit/FruitCard/SG_0005	5000	0	5	100	500	5	颜色鲜亮的树莓。
6	fruit_grape	葡萄	false	Arts/Fruit/Fruit/SG_0006_S	Arts/Fruit/FruitCard/SG_0006	6000	0	6	100	600	6	成串成熟的葡萄，宠物非常喜欢。
7	fruit_kiwi	猕猴桃	false	Arts/Fruit/Fruit/SG_0007_S	Arts/Fruit/FruitCard/SG_0007	7000	60	7	100	700	7	口感清爽的猕猴桃。
8	fruit_wax_apple	莲雾	false	Arts/Fruit/Fruit/SG_0008_S	Arts/Fruit/FruitCard/SG_0008	8000	60	8	100	800	8	外形精致的莲雾。
9	fruit_lemon	柠檬	false	Arts/Fruit/Fruit/SG_0009_S	Arts/Fruit/FruitCard/SG_0009	9000	60	9	100	900	9	酸香醒神的柠檬。
10	fruit_avocado	牛油果	false	Arts/Fruit/Fruit/SG_0010_S	Arts/Fruit/FruitCard/SG_0010	10000	60	10	100	1000	10	营养丰富的牛油果。
11	fruit_dragon_fruit	火龙果	false	Arts/Fruit/Fruit/SG_0011_S	Arts/Fruit/FruitCard/SG_0011	12000	60	12	100	1100	12	稀有的火龙果。
12	fruit_peach	仙桃	false	Arts/Fruit/Fruit/SG_0012_S	Arts/Fruit/FruitCard/SG_0015	14000	60	14	100	1200	14	香气浓郁的仙桃。
13	fruit_cactus_pear	仙人掌果	false	Arts/Fruit/Fruit/SG_0013_S	Arts/Fruit/FruitCard/SG_0016	16000	240	16	100	1300	16	来自仙人掌的珍贵果子。
14	fruit_cherry	樱桃	false	Arts/Fruit/Fruit/SG_0014_S	Arts/Fruit/FruitCard/SG_0014	18000	240	18	100	1400	18	小巧珍贵的樱桃。
15	fruit_mango	芒果	false	Arts/Fruit/Fruit/SG_0015_S	Arts/Fruit/FruitCard/SG_0015	20000	240	20	100	1500	20	香甜浓郁的芒果。
16	fruit_durian	榴莲	false	Arts/Fruit/Fruit/SG_0016_S	Arts/Fruit/FruitCard/SG_0016	24000	240	24	100	1600	24	气味独特的榴莲。
17	fruit_fig	无花果	false	Arts/Fruit/Fruit/SG_0017_S	Arts/Fruit/FruitCard/SG_0017	28000	240	28	100	1700	28	稀有柔甜的无花果。
18	fruit_lychee	荔枝	false	Arts/Fruit/Fruit/SG_0018_S	Arts/Fruit/FruitCard/SG_0018	32000	240	32	100	1800	32	晶莹清甜的荔枝。
19	fruit_blueberry	蓝莓	false	Arts/Fruit/Fruit/SG_0019_S	Arts/Fruit/FruitCard/SG_0019	36000	600	36	100	1900	36	小巧清爽的蓝莓。
20	fruit_pear	梨子	false	Arts/Fruit/Fruit/SG_0020_S	Arts/Fruit/FruitCard/SG_0020	40000	600	40	100	2000	40	清甜多汁的梨子。
21	fruit_pineapple	菠萝	false	Arts/Fruit/Fruit/SG_0021_S	Arts/Fruit/FruitCard/SG_0021	45000	600	45	100	2100	45	香甜多汁的菠萝。
22	fruit_tangerine	橘子	false	Arts/Fruit/Fruit/SG_0022_S	Arts/Fruit/FruitCard/SG_0022	50000	600	50	100	2200	50	清爽多汁的橘子。
23	fruit_pomegranate	石榴	false	Arts/Fruit/Fruit/SG_0023_S	Arts/Fruit/FruitCard/SG_0023	55000	600	55	100	2300	55	颗粒饱满的石榴。
24	fruit_carambola	杨桃	false	Arts/Fruit/Fruit/SG_0024_S	Arts/Fruit/FruitCard/SG_0024	60000	600	60	100	2400	60	清爽多汁的杨桃。
25	fruit_watermelon	西瓜	false	Arts/Fruit/Fruit/SG_0025_S	Arts/Fruit/FruitCard/SG_0025	65000	1380	65	100	2500	65	夏日清凉的西瓜。
26	fruit_jcg	甲虫果	false	Arts/Fruit/Fruit/SG_0026_S	Arts/Fruit/FruitCard/SG_0026	70000	1380	70	100	2600	70	稀有的甲虫果，吃了会有奇妙的效果。
27	fruit_ppj	泡泡橘	false	Arts/Fruit/Fruit/SG_0027_S	Arts/Fruit/FruitCard/SG_0027	75000	1380	75	100	2700	75	清爽多汁的泡泡橘，吃了会冒泡泡。
28	fruit_zyg	紫阳果	false	Arts/Fruit/Fruit/SG_0028_S	Arts/Fruit/FruitCard/SG_0028	82000	1380	82	100	2800	82	神秘的紫阳果，吃了会有神奇的力量。
29	fruit_sy	沙椰	false	Arts/Fruit/Fruit/SG_0029_S	Arts/Fruit/FruitCard/SG_0029	90000	1380	90	100	2900	90	来自沙漠的珍贵果实。
30	fruit_ppg	蓬蓬果	false	Arts/Fruit/Fruit/SG_0030_S	Arts/Fruit/FruitCard/SG_0030	100000	1380	100	100	3000	100	稀有的蓬蓬果，吃了会让人变得蓬松可爱。
