#Id	Code	Name	Quality	EntitySkeletonDataPath	UiSkeletonDataPath	IdleAnimationName	MoveAnimationName	GiveGoldAnimationName	AttributeType	AttributeValue	RequiredStars	EatFruitCount	ProduceProbability	Description
#唯一编号	机器码	显示名称	宠物品质	实体SkeletonData资源路径	UI SkeletonData资源路径	待机动画名	移动动画名	给金币动画名	属性类型	属性数值	星星条件	吃水果次数	产出物概率	备注描述
1	pet_lulu	史莱姆	Normal	Pet/CHW_1001/CHW_1001_SkeletonData	Pet/CHW_1001/CHW_1001_SkeletonData 1	move	move	win	ScoreBase	1	0	1	2	蹦蹦跳跳的水滴状粘液小怪物
2	pet_shuxiaoxiao	树小小	Rare	Assets/_Game/Resources_moved/Pet/CHW_2001/CHW_2001_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_2001/CHW_2001_SkeletonData.asset	run	run	victory	ComboTime	1	1	1	2	受到魔法石影响的树妖
3	pet_papagui	爬爬龟	Epic	Assets/_Game/Resources_moved/Pet/CHW_3001/CHW_3001_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_3001/CHW_3001_SkeletonData.asset	Move	Move	Win	ScoreBase	2	0	2	2	移动缓慢，喜欢吃苹果
4	pet_duoduoshou	多多兽	Legendary	Pet/Duoduoshou/BOOS_Duoduoshou_001_SkeletonData	Pet/Duoduoshou/BOOS_Duoduoshou_001_SkeletonDataUI	Walk	Walk	Attack	ScoreBase	4	0	2	2	黄色独眼变异兽
5	pet_miemieyang	咩咩羊	Mythic	Pet/Miemieyang/MS_Miemieyang_001_SkeletonData	Pet/Miemieyang/MS_Miemieyang_001_SkeletonDataUI	Idle	Idle	Attack	ScoreBase	5	0	3	2	拥有治愈之力的绵羊
6	pet_fxf	蜂小蜂	Normal	Pet/CHW_1002/CHW_1002_SkeletonData	Pet/CHW_1002/CHW_1002_SkeletonData	Move	Move	win	ScoreBase	1	5	1	2	喜欢吃花蜜的小蜜蜂
7	pet_lxz	萝小紫	Normal	Pet/CHW_1003/CHW_1003_SkeletonData	Pet/CHW_1003/CHW_1003_SkeletonData	run	run	victory	ScoreBase	1	10	1	2	萝卜成精
8	pet_cslm	草史莱姆	Normal	Pet/CHW_1004/CHW_1004_SkeletonData	Pet/CHW_1004/CHW_1004_SkeletonData	run	run	victory	ScoreBase	1	25	1	2	草史莱姆是史莱姆的变异体，草免
9	pet_hslm	火史莱姆	Normal	Pet/CHW_1005/CHW_1005_SkeletonData	Pet/CHW_1005/CHW_1005_SkeletonData	run	run	victory	ScoreBase	1	60	1	2	火史莱姆是史莱姆的变异体，火免
10	pet_nng	黏黏怪	Normal	Pet/CHW_1006/CHW_1006_SkeletonData	Pet/CHW_1006/CHW_1006_SkeletonData	run	run	victory	ScoreBase	1	100	1	2	异色史莱姆，黏黏乎乎
11	pet_lxy	蓝小鸭	Rare	Assets/_Game/Resources_moved/Pet/CHW_2002/CHW_2002_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_2002/CHW_2002_SkeletonData.asset	Move	Move	Win	ComboTime	1	10	2	2	蓝色小鸭子，刚出生不久，跟黄小鸡是好朋友
12	pet_hxj	黄小鸡	Rare	Assets/_Game/Resources_moved/Pet/CHW_2003/CHW_2003_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_2003/CHW_2003_SkeletonData.asset	move	move	win	ComboTime	1	50	2	2	黄色小鸡，刚出生不久，跟蓝小鸭是好朋友
13	pet_dzc	大嘴草	Rare	Assets/_Game/Resources_moved/Pet/CHW_2004/CHW_2004_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_2004/CHW_2004_SkeletonData.asset	Move	Move	Win	ComboTime	1	100	2	2	草成精了。吃东西的时候会看不见
14	pet_xcjl	香草精灵	Rare	Assets/_Game/Resources_moved/Pet/CHW_2005/CHW_2005_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_2005/CHW_2005_SkeletonData.asset	Move	Move	Win	ComboTime	1	200	2	2	香草精灵。香香的。
15	pet_cmjl	星星精灵	Rare	Assets/_Game/Resources_moved/Pet/CHW_2006/CHW_2006_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_2006/CHW_2006_SkeletonData.asset	Move	Move	Win	ComboTime	1	300	2	2	星星精灵。
16	pet_lmc	绿毛虫	Epic	Assets/_Game/Resources_moved/Pet/CHW_3002/CHW_3002_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_3002/CHW_3002_SkeletonData.asset	Move	Move	Win	ScoreBase	2	50	3	2	绿毛虫，喜欢吃叶子
17	pet_mxy	猫小鹰	Epic	Assets/_Game/Resources_moved/Pet/CHW_3003/CHW_3003_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_3003/CHW_3003_SkeletonData.asset	Move	Move	Win	ScoreBase	2	150	3	2	猫和鹰的混合体
18	pet_hkcc	红壳菜虫	Epic	Assets/_Game/Resources_moved/Pet/CHW_3004/CHW_3004_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_3004/CHW_3004_SkeletonData.asset	Move	Move	Win	ScoreBase	2	300	3	2	红色外壳的菜虫
19	pet_xrzq	仙人掌球	Epic	Assets/_Game/Resources_moved/Pet/CHW_3005/CHW_3005_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_3005/CHW_3005_SkeletonData.asset	Move	Move	Win	ScoreBase	2	500	3	2	长满刺的仙人掌球
20	pet_wby	白小鹅	Epic	Assets/_Game/Resources_moved/Pet/CHW_3006/CHW_3006_SkeletonData.asset	Assets/_Game/Resources_moved/Pet/CHW_3006/CHW_3006_SkeletonData.asset	Move	Move	Win	ScoreBase	2	900	3	2	穿着围脖的鸭子
